dominio,anio,cantidad_personas,total_encuestados,porcentaje_hipertension,presion_sistolica_promedio,presion_diastolica_promedio,poblacion_total_2020,tasa_hipertension_por_100k
AMAZONAS,2019,410,1409,9.699550508634966,157.5104464875578,83.80104877780225,472993,86.68204392031171
AMAZONAS,2020,306,1427,7.147862648913805,158.2416564916565,84.79633445258445,472993,64.69440351125704
AMAZONAS,2021,428,1387,10.285988944965153,157.3610290943624,86.81532849866183,472993,90.48759706803273
AMAZONAS,2022,406,1391,9.729211598370478,155.75134195642363,91.92367412784836,472993,85.83636544304039
AMAZONAS,2023,349,1393,8.351280210576691,155.95617467028458,91.5989998106897,472993,73.78544714192387
ANCASH,2019,350,1257,9.28135773004508,157.45500474013272,83.99666390658939,1246249,28.084275293300134
ANCASH,2020,342,1256,9.076433121019107,158.0006144393241,85.3776567518503,1246249,27.442349000881844
ANCASH,2021,394,1211,10.845031654280207,158.39312811791385,86.3414954648526,1246249,31.614869901600724
ANCASH,2022,422,1245,11.298527443105755,155.57732445987654,87.33100887345678,1246249,33.861611925064736
ANCASH,2023,371,1247,9.9171344560278,153.4992487609976,89.18235263709069,1246249,29.769331810898144
APURIMAC,2019,372,1267,9.78689818468824,156.47458640577906,90.0215986867363,460316,80.81404947905352
APURIMAC,2020,251,1279,6.541568934063069,156.01862340585146,87.11184775360506,460316,54.52775919151192
APURIMAC,2021,356,1244,9.539121114683816,156.58892238780257,87.95101429925057,460316,77.33817638318024
APURIMAC,2022,280,1229,7.594250067805805,156.7017543859649,87.59177631578946,460316,60.82777917778222
APURIMAC,2023,346,1266,9.110057925223801,152.73952138038035,91.93134927164876,460316,75.16575569825946
AREQUIPA,2019,400,1233,10.813733441470667,156.98083823282613,84.27657116643296,1556246,25.70287730860031
AREQUIPA,2020,298,1166,8.519153802172669,156.1249511024606,86.84335176333273,1556246,19.14864359490723
AREQUIPA,2021,441,1160,12.67241379310345,154.48941462898276,89.2177705775202,1556246,28.337422232731843
AREQUIPA,2022,435,1239,11.702986279257466,151.69227098360957,91.71430308536607,1556246,27.951879073102837
AREQUIPA,2023,348,1249,9.287429943955164,152.0107025483683,91.01038921718252,1556246,22.36150325848227
