dominio,anio,cantidad,total_denuncias,porcentaje_inseguridad,poblacion_total_2020,tasa_denuncias_por_100k_inseguridad
AMAZONAS,2019,8127,10822,75.09702457956016,472993,1718.2072461960324
AMAZONAS,2020,6754,8572,78.79141390573962,472993,1427.9281088726473
AMAZONAS,2021,10967,14035,78.1403633772711,472993,2318.6389650586793
AMAZONAS,2022,10043,13787,72.84398346268223,472993,2123.287236809001
AMAZONAS,2023,11036,14956,73.78978336453598,472993,2333.22691879161
ANCASH,2019,34467,45642,75.51597213093204,1246249,2765.659190097645
ANCASH,2020,24215,30319,79.86740987499587,1246249,1943.030646363608
ANCASH,2021,31109,39982,77.80751338102147,1246249,2496.2106288550685
ANCASH,2022,33715,45874,73.49479007716789,1246249,2705.318118610326
ANCASH,2023,35880,48270,74.33188315724053,1246249,2879.039421496025
APURIMAC,2019,13838,16946,81.6593886462882,460316,3006.195743793394
APURIMAC,2020,10495,12520,83.8258785942492,460316,2279.955508824373
APURIMAC,2021,13872,16836,82.39486813970063,460316,3013.581974122125
APURIMAC,2022,9753,12698,76.80737123956528,460316,2118.76189400325
APURIMAC,2023,13167,17014,77.38920888679911,460316,2860.426315835209
AREQUIPA,2019,59677,69065,86.40700789111706,1556246,3834.676522863352
AREQUIPA,2020,28684,33909,84.59111150432038,1556246,1843.1533317997284
AREQUIPA,2021,56454,67113,84.11783112064727,1556246,3627.575588949305
AREQUIPA,2022,54281,66997,81.02004567368688,1556246,3487.9447079703336
AREQUIPA,2023,61459,74940,82.01094208700293,1556246,3949.182841273166
AYACUCHO,2019,19792,24784,79.85797288573274,690053,2868.1854872017075
AYACUCHO,2020,10378,12964,80.05245294662141,690053,1503.9424507972576
AYACUCHO,2021,20363,25277,80.55940182774854,690053,2950.932754440601
AYACUCHO,2022,20221,25035,80.77092071100459,690053,2930.3546249346064
AYACUCHO,2023,23047,28624,80.51634991615427,690053,3339.8883853848906
CAJAMARCA,2019,18782,24053,78.08589365151956,1603521,1171.2974136291325
CAJAMARCA,2020,13133,16297,80.58538381297171,1603521,819.0101657539876
CAJAMARCA,2021,18790,23840,78.81711409395973,1603521,1171.7963157326908
CAJAMARCA,2022,18404,24203,76.04016031070529,1603521,1147.724289236
CAJAMARCA,2023,20903,27589,75.7657037224981,1603521,1303.5688338350417
CALLAO,2019,35248,40726,86.54913323184206,1147951,3070.514333799962
CALLAO,2020,29719,33486,88.7505226064624,1147951,2588.873566903117
CALLAO,2021,42784,49235,86.89753224332284,1147951,3726.9883470635946
CALLAO,2022,33501,43184,77.57734346054093,1147951,2918.3301377846265
CALLAO,2023,45122,57506,78.46485584112962,1147951,3930.6555767624227
CUSCO,2019,40540,48371,83.8105476421823,1460963,2774.8820469786024
CUSCO,2020,26769,31537,84.88125059453975,1460963,1832.2845958453431
CUSCO,2021,35027,41931,83.53485488063723,1460963,2397.5282057108907
CUSCO,2022,35359,43841,80.65281357633266,1460963,2420.2529427507743
CUSCO,2023,38696,48271,80.16407366741937,1460963,2648.6639292028613
HUANCAVELICA,2019,3911,5492,71.21267297887837,435152,898.7664080597124
HUANCAVELICA,2020,3558,4650,76.51612903225806,435152,817.6453285288819
HUANCAVELICA,2021,4730,6472,73.0840543881335,435152,1086.9765047615545
HUANCAVELICA,2022,4602,6563,70.12037178119762,435152,1057.561495753208
HUANCAVELICA,2023,3928,5897,66.61014074953367,435152,902.6730889436335
HUANUCO,2019,20420,25914,78.79910473103342,865820,2358.4578780808943
HUANUCO,2020,15725,19699,79.82638712625007,865820,1816.197362038299
HUANUCO,2021,22853,28465,80.28455998594765,865820,2639.4631678639903
HUANUCO,2022,25160,32089,78.40693072392409,865820,2905.915779261278
HUANUCO,2023,27255,34735,78.46552468691522,865820,3147.882931787208
ICA,2019,35830,45215,79.24361384496295,938259,3818.7749864376465
ICA,2020,19108,23038,82.9412275371126,938259,2036.5378855944896
ICA,2021,34920,43363,80.52948366118581,938259,3721.7868413732244
ICA,2022,30684,41193,74.48838394872915,938259,3270.312355117297
ICA,2023,32818,44257,74.15324129516235,938259,3497.7548843123277
JUNIN,2019,29344,39071,75.10429730490645,1408222,2083.762361332233
JUNIN,2020,29285,35436,82.64194604357151,1408222,2079.5726810119427
JUNIN,2021,38630,49368,78.24906822233025,1408222,2743.175436827432
JUNIN,2022,42150,55448,76.01716923964797,1408222,2993.136025427809
JUNIN,2023,45922,60975,75.31283312833128,1408222,3260.9915198029853
LA LIBERTAD,2019,45425,55174,82.33044549969189,2054619,2210.8721860354644
LA LIBERTAD,2020,30209,36383,83.03053623945249,2054619,1470.2969260967604
LA LIBERTAD,2021,45485,55094,82.55889933568083,2054619,2213.792435483172
LA LIBERTAD,2022,50209,61289,81.92171515280067,2054619,2443.713408666035
LA LIBERTAD,2023,48797,60640,80.46998680738785,2054619,2374.990204996644
LAMBAYEQUE,2019,61850,73560,84.0810222947254,1393148,4439.58574394106
LAMBAYEQUE,2020,39567,46245,85.5595199481025,1393148,2840.114618116668
LAMBAYEQUE,2021,55079,65967,83.49477769187624,1393148,3953.5641582947396
LAMBAYEQUE,2022,64613,78157,82.670778049311,1393148,4637.9135597940785
LAMBAYEQUE,2023,75106,89678,83.75075269296818,1393148,5391.099868786375
LIMA,2019,292856,343474,85.26293110977832,11261067,2600.606141496183
LIMA,2020,191827,221646,86.54656524367685,11261067,1703.4531452481367
LIMA,2021,236278,276815,85.35592363130611,11261067,2098.18483452767
LIMA,2022,238353,280400,85.0046362339515,11261067,2116.611152389023
LIMA,2023,300405,362116,82.95822333175005,11261067,2667.642417898766
LORETO,2019,18575,22068,84.17165125974262,1154766,1608.5509964789403
LORETO,2020,11915,14257,83.57298169320335,1154766,1031.8107737844723
LORETO,2021,14975,17930,83.51924149470162,1154766,1296.799524752201
LORETO,2022,16478,20321,81.0885291078195,1154766,1426.9557641981146
LORETO,2023,19272,23931,80.53152814341232,1154766,1668.9095453104783
MADRE DE DIOS,2019,10276,13606,75.52550345435837,177571,5786.980982254986
MADRE DE DIOS,2020,6918,8796,78.64938608458391,177571,3895.9064261619296
MADRE DE DIOS,2021,10823,13711,78.93662023193056,177571,6095.026778021185
MADRE DE DIOS,2022,11580,14546,79.60951464320088,177571,6521.335127920664
MADRE DE DIOS,2023,10959,13758,79.65547317924117,177571,6171.615860697974
MOQUEGUA,2019,8047,10365,77.63627592860588,197622,4071.9150701844937
MOQUEGUA,2020,5423,6689,81.07340409627747,197622,2744.12767809252
MOQUEGUA,2021,7273,9190,79.14036996735582,197622,3680.2582708402915
MOQUEGUA,2022,7833,10193,76.8468556852742,197622,3963.6275313477245
MOQUEGUA,2023,8393,10953,76.62740801606866,197622,4246.996791855158
PASCO,2019,3894,5525,70.47963800904978,294380,1322.7800801684898
PASCO,2020,2669,3957,67.45008845084661,294380,906.6512670697738
PASCO,2021,3366,4916,68.47030105777054,294380,1143.420069298186
PASCO,2022,3326,5084,65.42092840283242,294380,1129.8321896867992
