dominio,anio,cantidad_personas,total_encuestados,porcentaje_obesidad,imc_promedio,perimetro_abdominal_promedio,poblacion_total_2020,tasa_obesidad_por_100k
AMAZONAS,2019,250,1409,5.914360066240833,37.05898539722708,112.06047938193615,472993,52.85490482945836
AMAZONAS,2020,647,1427,15.113291287082456,36.720747847878165,112.15727336840054,472993,136.78849369863826
AMAZONAS,2021,284,1387,6.825282384042297,36.85816963162282,111.22464146023468,472993,60.0431718862647
AMAZONAS,2022,263,1391,6.30242032111191,37.34027622368175,111.99961692363127,472993,55.60335988059019
AMAZONAS,2023,267,1393,6.389088298636037,36.659761948248274,111.23434995112414,472993,56.44903835786153
ANCASH,2019,314,1257,8.326703792097588,37.7428382432464,113.04915506197842,1246249,25.195606977417835
ANCASH,2020,584,1256,15.498938428874736,37.49611435916089,111.67471604938271,1246249,46.86061934653508
ANCASH,2021,326,1211,8.973300302780073,37.5909291382845,111.47234694260203,1246249,26.158496416045267
ANCASH,2022,355,1245,9.504685408299865,37.32892251094185,112.81901463799527,1246249,28.485479226061564
ANCASH,2023,383,1247,10.237904303662122,36.98162875112623,111.3980229179427,1246249,30.732221249525576
APURIMAC,2019,183,1267,4.814522494080506,36.40866798997294,112.09999394159699,460316,39.755298534050524
APURIMAC,2020,509,1279,13.265572061506385,37.259268676949965,111.71210356570396,460316,110.5762128624684
APURIMAC,2021,226,1244,6.055734190782423,37.52776550035008,111.85979901960785,460316,49.09670747920993
APURIMAC,2022,235,1229,6.373745592622729,37.03448004878697,111.9392257269376,460316,51.05188609563864
APURIMAC,2023,254,1266,6.687730384412849,37.193627255960024,110.46893963172211,460316,55.179485396988156
AREQUIPA,2019,389,1233,10.516355771830225,37.07345482080867,113.44320877181212,1556246,24.996048182613805
AREQUIPA,2020,601,1166,17.181246426529444,37.68001248562728,112.85128385197207,1556246,38.61857315617197
AREQUIPA,2021,398,1160,11.436781609195402,36.99176618337239,112.11230436859476,1556246,25.57436292205731
AREQUIPA,2022,408,1239,10.976594027441484,37.17903558760926,112.99789021418492,1556246,26.216934854772315
AREQUIPA,2023,409,1249,10.915398985855353,37.56539965226217,112.76821621767824,1556246,26.281192048043817
AYACUCHO,2019,241,1466,5.479763528876762,37.19813764684866,111.82738576238576,690053,34.92485359820188
AYACUCHO,2020,609,1448,14.019337016574587,37.49571728048516,110.88929676689747,690053,88.25409062782134
AYACUCHO,2021,309,1418,7.263751763046545,37.401058758180874,111.90507719683886,690053,44.779169136283734
AYACUCHO,2022,307,1433,7.141195626889974,37.48091609005361,111.70425919184565,690053,44.48933632634015
AYACUCHO,2023,297,1453,6.813489332415692,37.20693505963147,111.50080437988852,690053,43.04017227662223
CAJAMARCA,2019,199,1310,5.063613231552163,36.674533359423584,110.5298124098124,1603521,12.410189826014129
CAJAMARCA,2020,540,1301,13.835511145272866,33.91319651440718,111.67494960601061,1603521,33.67589199018909
CAJAMARCA,2021,274,1258,7.260201377848436,37.56617029385503,110.6049176432685,1603521,17.087397046873722
CAJAMARCA,2022,298,1279,7.766484232473286,37.333524240761086,111.49190631991837,1603521,18.584103357548795
CAJAMARCA,2023,263,1247,7.030205827318899,37.09494076730838,110.96454509177973,1603521,16.401406654480983
CALLAO,2019,448,1242,12.023617820719272,37.643810245555045,113.07189512108262,1147951,39.026055990194706
