dominio,anio,cantidad_personas,total_encuestados,imc_promedio,perimetro_abdominal_promedio,presion_sistolica_promedio,presion_diastolica_promedio,porcentaje_obesidad_hipertension,poblacion_total_2020,tasa_union_por_100k
AMAZONAS,2019,82,1409,36.299653493181054,110.81090838509317,145.10630175983437,86.77639751552795,0.8313900435972827,472993,17.336408784062343
AMAZONAS,2020,57,1427,34.450170231032956,108.84572310405645,155.44124779541445,88.5623897707231,0.6657323055360896,472993,12.050918301116507
AMAZONAS,2021,110,1387,36.24103020448594,110.26399769585252,145.3909287908712,87.35755979811279,1.1329694098259346,472993,23.25615812496168
AMAZONAS,2022,88,1391,35.61762253805701,111.18707912457914,146.90867003367003,92.64709595959596,1.054397316079559,472993,18.604926499969345
AMAZONAS,2023,83,1393,36.4461430499142,111.25435558593453,144.6922324751272,88.85404799878484,0.8511947492564865,472993,17.547828403380176
ANCASH,2019,107,1257,37.35103144509661,112.74396825396825,146.64325396825396,81.69444444444444,1.2160472780997842,1246249,8.585764161094612
ANCASH,2020,81,1256,37.4302014629246,111.75185687950393,157.90013407072232,82.49805178481648,0.7165605095541401,1246249,6.4995037107351745
ANCASH,2021,113,1211,37.55346405379609,111.86662120493358,150.4015851025161,85.28413056938318,1.166391412056152,1246249,9.06720888040833
ANCASH,2022,129,1245,37.171970585810044,114.24736111111112,151.11057692307693,82.5084935897436,1.2951807228915664,1246249,10.351061465244907
ANCASH,2023,134,1247,36.61211030210899,111.33891806722689,147.7175969251337,90.14374045072574,1.3432237369687248,1246249,10.752265398006337
APURIMAC,2019,59,1267,37.10509158233603,112.37005952380952,158.9547619047619,94.93854166666667,0.5820836621941594,460316,12.817282041032682
APURIMAC,2020,45,1279,37.12844418435796,114.79488224637682,159.90783514492753,88.17028985507247,0.43979671618451915,460316,9.775893082143572
APURIMAC,2021,77,1244,36.01128448425863,111.71326486013987,150.7662733100233,90.7569493006993,0.7737138263665595,460316,16.727639273890112
APURIMAC,2022,71,1229,36.99933923731235,112.54440115440116,151.12640692640693,91.14516594516594,0.8252935022666511,460316,15.424186862937633
APURIMAC,2023,82,1266,37.22335398687091,110.13447278911565,139.27891156462584,90.34362244897959,0.9252990295644323,460316,17.81384961635051
AREQUIPA,2019,135,1233,36.22103973356405,113.54159079016222,146.62193223443225,83.69899921507064,1.5641293013555786,1556246,8.674721091652605
AREQUIPA,2020,113,1166,36.532065918027534,112.73404761904762,142.3710927960928,85.51920024420023,1.3844645920117618,1556246,7.261062839679587
AREQUIPA,2021,162,1160,36.509605889369396,113.09007869184806,148.68288207782047,92.55126218167591,1.745689655172414,1556246,10.409665309983126
AREQUIPA,2022,173,1239,36.499448661461564,113.0326254180602,147.31549866863,94.6883316201409,1.7453591606133978,1556246,11.116494435969633
AREQUIPA,2023,144,1249,37.05770293378737,113.16256173871064,148.8382770721925,91.91083050170826,1.4411529223378703,1556246,9.253035831096113
