anio_denuncia,generico,dpto_pjfs,cantidad,departamento,total_2022
2022,contra el patrimonio,amazonas,3841,amazonas,429483
2022,contra el patrimonio,ancash,13450,ancash,1194156
2022,contra el patrimonio,apurimac,2777,apurimac,429720
2022,contra el patrimonio,arequipa,22549,arequipa,1553994
2022,contra el patrimonio,ayacucho,7671,ayacucho,670579
2022,contra el patrimonio,cajamarca,6612,cajamarca,1454217
2022,contra el patrimonio,callao,13196,callao,1171648
2022,contra el patrimonio,cusco,10345,cusco,1380594
2022,contra el patrimonio,huancavelica,1146,huancavelica,350845
2022,contra el patrimonio,huanuco,8729,huanuco,755213
2022,contra el patrimonio,ica,12268,ica,1020050
2022,contra el patrimonio,junin,14085,junin,1374221
2022,contra el patrimonio,la libertad,21129,la libertad,2077345
2022,contra el patrimonio,lambayeque,34797,lambayeque,1338994
2022,contra el patrimonio,lima,93122,lima,10986006
2022,contra el patrimonio,loreto,6930,loreto,1044884
2022,contra el patrimonio,madre de dios,3438,madre de dios,185478
2022,contra el patrimonio,moquegua,3023,moquegua,197337
2022,contra el patrimonio,pasco,1167,pasco,269296
2022,contra el patrimonio,piura,20109,piura,2103099
2022,contra el patrimonio,puno,5935,puno,1226353
2022,contra el patrimonio,san martin,5084,san martin,924384
2022,contra el patrimonio,tacna,4561,tacna,384222
2022,contra el patrimonio,tumbes,2000,tumbes,259556
2022,contra el patrimonio,ucayali,5286,ucayali,615024
2022,contra la libertad,amazonas,1022,amazonas,429483
2022,contra la libertad,ancash,2453,ancash,1194156
2022,contra la libertad,apurimac,639,apurimac,429720
2022,contra la libertad,arequipa,3863,arequipa,1553994
2022,contra la libertad,ayacucho,1562,ayacucho,670579
2022,contra la libertad,cajamarca,1565,cajamarca,1454217
2022,contra la libertad,callao,1951,callao,1171648
2022,contra la libertad,cusco,2756,cusco,1380594
2022,contra la libertad,huancavelica,377,huancavelica,350845
2022,contra la libertad,huanuco,1921,huanuco,755213
2022,contra la libertad,ica,2152,ica,1020050
2022,contra la libertad,junin,3156,junin,1374221
2022,contra la libertad,la libertad,2857,la libertad,2077345
2022,contra la libertad,lambayeque,4050,lambayeque,1338994
2022,contra la libertad,lima,15835,lima,10986006
2022,contra la libertad,loreto,1251,loreto,1044884
2022,contra la libertad,madre de dios,725,madre de dios,185478
2022,contra la libertad,moquegua,536,moquegua,197337
2022,contra la libertad,pasco,191,pasco,269296
2022,contra la libertad,piura,3127,piura,2103099
2022,contra la libertad,puno,1237,puno,1226353
2022,contra la libertad,san martin,1228,san martin,924384
2022,contra la libertad,tacna,915,tacna,384222
2022,contra la libertad,tumbes,413,tumbes,259556
2022,contra la libertad,ucayali,1022,ucayali,615024
2022,contra la seguridad publica,amazonas,672,amazonas,429483
2022,contra la seguridad publica,ancash,2680,ancash,1194156
2022,contra la seguridad publica,apurimac,823,apurimac,429720
2022,contra la seguridad publica,arequipa,4992,arequipa,1553994
2022,contra la seguridad publica,ayacucho,1491,ayacucho,670579
2022,contra la seguridad publica,cajamarca,1699,cajamarca,1454217
