anio_denuncia,dpto_pjfs,cantidad_total,cantidad_patrimonio,cantidad_vida,cantidad_libertad,cantidad_tranquilidad,cantidad_seguridad,cantidad_otros
2019,amazonas,10788,2678,4128,719,19,625,2619
2019,ancash,45504,12147,17303,2448,63,2592,10951
2019,apurimac,16896,3485,8306,819,39,1197,3050
2019,arequipa,68892,15706,37283,2931,122,4084,8766
2019,ayacucho,24697,5858,11175,1313,35,1450,4866
2019,cajamarca,23978,6086,9986,1473,25,1258,5150
2019,callao,40525,13393,16464,2374,76,3233,4985
2019,cusco,48207,11099,21930,2351,54,5264,7509
2019,huancavelica,5465,1097,2357,264,11,195,1541
2019,huanuco,25862,5733,10873,1451,30,2386,5389
2019,ica,45051,14918,15761,2294,107,2927,9044
2019,junin,38915,8009,17210,1917,54,2202,9523
2019,la libertad,54951,20383,17692,2845,110,4864,9057
2019,lambayeque,73411,27880,25686,4527,151,3911,11256
2019,lima,340939,118612,132569,21009,2010,23369,43370
2019,loreto,22029,7127,6923,1431,56,3126,3366
2019,madre de dios,13569,3530,4966,661,22,1101,3289
2019,moquegua,10301,2586,4365,534,6,695,2115
2019,pasco,5504,1076,2370,221,17,212,1608
2019,piura,59925,19925,23755,3298,121,3706,9120
2019,puno,33594,5041,13815,1425,50,7633,5630
2019,san martin,10852,2985,4240,553,27,566,2481
2019,tacna,16459,3895,6523,775,36,1486,3744
2019,tumbes,12059,2900,4580,499,9,1164,2907
2019,ucayali,24656,8481,6336,1267,43,4287,4242
2020,amazonas,8536,2122,3132,624,14,907,1737
2020,ancash,30191,7668,12346,1592,67,2682,5836
2020,apurimac,12497,2542,6275,615,42,1027,1996
2020,arequipa,33823,8857,15263,1597,55,3321,4730
2020,ayacucho,12934,3138,5708,602,32,930,2524
2020,cajamarca,16248,3866,7119,1144,22,1055,3042
2020,callao,33369,9607,15197,2025,54,3258,3228
2020,cusco,31418,7210,14449,1708,45,3564,4442
2020,huancavelica,4635,859,2128,199,15,363,1071
2020,huanuco,19675,4018,8386,1093,20,2355,3803
2020,ica,22951,6334,7903,1344,93,3551,3726
2020,junin,35309,7862,15911,2202,117,3288,5929
2020,la libertad,36273,10429,12501,1948,59,5743,5593
2020,lambayeque,46120,17491,15859,3223,107,3268,6172
2020,lima,220308,63975,100366,14392,1029,16578,23968
2020,loreto,14236,3934,4783,993,45,2237,2244
2020,madre de dios,8779,2128,3042,525,20,1206,1858
2020,moquegua,6657,1447,3224,331,8,497,1150
2020,pasco,3943,636,1597,160,8,281,1261
2020,piura,35579,12400,13821,2092,65,2022,5179
2020,puno,17869,3248,8753,786,19,2681,2382
2020,san martin,8941,2066,3629,570,27,757,1892
2020,tacna,8997,1952,4091,493,21,839,1601
2020,tumbes,7488,1498,2889,331,3,1096,1671
2020,ucayali,12827,4208,3434,662,46,2227,2250
2021,amazonas,13988,4244,4870,941,35,948,2950
2021,ancash,39711,11007,15312,2117,72,2950,8253
2021,apurimac,16765,3701,8083,850,54,1235,2842
2021,arequipa,66862,18062,30144,3631,118,5253,9654
2021,ayacucho,25141,6944,10110,1529,66,1810,4682
