anio_denuncia,generico,subgenerico,cantidad,ubigeo_pjfs,dpto_pjfs
2019,contra el honor,contra el honor (sin especificar delito subgenérico),4,10101,amazonas
2019,contra el honor,"injuria,calumnia y difamacion",1,10101,amazonas
2019,contra el honor,"injuria,calumnia y difamacion",2,10101,amazonas
2019,contra el honor,"injuria,calumnia y difamacion",14,10101,amazonas
2019,contra el honor,"injuria,calumnia y difamacion",1,10101,amazonas
2019,contra el orden economico,"acaparamiento, especulacion, adulteracion",2,10101,amazonas
2019,contra el orden financiero y monetario,contra el orden financiero y monetario (sin especificar delito subgenérico),2,10101,amazonas
2019,contra el orden financiero y monetario,delitos monetarios,11,10101,amazonas
2019,contra el orden financiero y monetario,delitos monetarios,2,10101,amazonas
2019,contra el patrimonio,abigeato,55,10101,amazonas
2019,contra el patrimonio,abigeato,1,10101,amazonas
2019,contra el patrimonio,abigeato,1,10101,amazonas
2019,contra el patrimonio,abigeato,15,10101,amazonas
2019,contra el patrimonio,apropiacion ilicita,44,10101,amazonas
2019,contra el patrimonio,apropiacion ilicita,1,10101,amazonas
2019,contra el patrimonio,apropiacion ilicita,4,10101,amazonas
2019,contra el patrimonio,apropiacion ilicita,1,10101,amazonas
2019,contra el patrimonio,apropiacion ilicita,46,10101,amazonas
2019,contra el patrimonio,contra el patrimonio (sin especificar delito subgenérico),92,10101,amazonas
2019,contra el patrimonio,daños,121,10101,amazonas
2019,contra el patrimonio,daños,37,10101,amazonas
2019,contra el patrimonio,daños,2,10101,amazonas
2019,contra el patrimonio,daños,272,10101,amazonas
2019,contra el patrimonio,estafa y otras defraudaciones,105,10101,amazonas
2019,contra el patrimonio,estafa y otras defraudaciones,7,10101,amazonas
2019,contra el patrimonio,estafa y otras defraudaciones,4,10101,amazonas
2019,contra el patrimonio,estafa y otras defraudaciones,5,10101,amazonas
2019,contra el patrimonio,extorsion,13,10101,amazonas
2019,contra el patrimonio,extorsion,1,10101,amazonas
2019,contra el patrimonio,extorsion,1,10101,amazonas
2019,contra el patrimonio,hurto,209,10101,amazonas
2019,contra el patrimonio,hurto,456,10101,amazonas
2019,contra el patrimonio,hurto,671,10101,amazonas
2019,contra el patrimonio,receptacion,33,10101,amazonas
2019,contra el patrimonio,receptacion,4,10101,amazonas
2019,contra el patrimonio,receptacion,15,10101,amazonas
2019,contra el patrimonio,robo,20,10101,amazonas
2019,contra el patrimonio,robo,119,10101,amazonas
2019,contra el patrimonio,robo,44,10101,amazonas
2019,contra el patrimonio,usurpacion,99,10101,amazonas
2019,contra el patrimonio,usurpacion,2,10101,amazonas
2019,contra el patrimonio,usurpacion,26,10101,amazonas
2019,contra el patrimonio,usurpacion,130,10101,amazonas
2019,contra el patrimonio cultural,contra los bienes culturales,1,10101,amazonas
2019,contra la administracion publica,delitos cometidos por funcionarios publicos,73,10101,amazonas
2019,contra la administracion publica,delitos cometidos por funcionarios publicos,65,10101,amazonas
2019,contra la administracion publica,delitos cometidos por funcionarios publicos,1,10101,amazonas
2019,contra la administracion publica,delitos cometidos por funcionarios publicos,7,10101,amazonas
2019,contra la administracion publica,delitos cometidos por funcionarios publicos,1,10101,amazonas
2019,contra la administracion publica,delitos cometidos por funcionarios publicos,12,10101,amazonas
2019,contra la administracion publica,delitos cometidos por funcionarios publicos,1,10101,amazonas
