region,anio,casos_hipertension,total_casos,prevalencia_completos,prevalencia_imputado,diferencia_prevalencia
amazonas,2019,138,1267,10.89,10.89,0.0
amazonas,2020,62,796,7.79,7.78,-0.01
amazonas,2021,98,1249,7.85,7.82,-0.03
amazonas,2022,105,1224,8.58,8.71,0.13
amazonas,2023,105,1238,8.48,8.48,0.0
ancash,2019,77,1137,6.77,6.77,0.0
ancash,2020,41,733,5.59,5.59,0.0
ancash,2021,58,1052,5.51,5.5,-0.01
ancash,2022,87,1068,8.15,8.19,0.04
ancash,2023,103,1037,9.93,9.98,0.05
apurimac,2019,98,1158,8.46,8.46,0.0
apurimac,2020,66,769,8.58,8.58,0.0
apurimac,2021,55,1100,5.0,5.07,0.07
apurimac,2022,66,1086,6.08,6.05,-0.03
apurimac,2023,87,1131,7.69,7.75,0.06
arequipa,2019,108,1080,10.0,10.0,0.0
arequipa,2020,64,661,9.68,9.68,0.0
arequipa,2021,87,985,8.83,8.83,0.0
arequipa,2022,99,1042,9.5,9.63,0.13
arequipa,2023,103,1056,9.75,9.81,0.06
ayacucho,2019,120,1349,8.9,8.9,0.0
ayacucho,2020,84,863,9.73,9.73,0.0
ayacucho,2021,88,1260,6.98,7.02,0.04
ayacucho,2022,94,1270,7.4,7.38,-0.02
ayacucho,2023,112,1319,8.49,8.55,0.06
cajamarca,2019,110,1181,9.31,9.31,0.0
cajamarca,2020,60,761,7.88,7.99,0.11
cajamarca,2021,85,1088,7.81,7.78,-0.03
cajamarca,2022,104,1130,9.2,9.26,0.06
cajamarca,2023,117,1113,10.51,10.59,0.08
callao,2019,116,1033,11.23,11.23,0.0
callao,2020,92,796,11.56,11.56,0.0
callao,2021,104,1020,10.2,10.19,-0.01
callao,2022,96,983,9.77,9.9,0.13
callao,2023,91,964,9.44,9.7,0.26
cusco,2019,114,1072,10.63,10.63,0.0
cusco,2020,54,680,7.94,8.04,0.1
cusco,2021,93,1059,8.78,8.86,0.08
cusco,2022,111,1028,10.8,10.76,-0.04
cusco,2023,112,1020,10.98,10.93,-0.05
huancavelica,2019,118,1220,9.67,9.67,0.0
huancavelica,2020,82,778,10.54,10.53,-0.01
huancavelica,2021,95,1121,8.47,8.45,-0.02
huancavelica,2022,113,1120,10.09,10.13,0.04
huancavelica,2023,146,1143,12.77,12.83,0.06
huanuco,2019,96,1281,7.49,7.49,0.0
huanuco,2020,47,825,5.7,5.69,-0.01
huanuco,2021,72,1203,5.99,5.97,-0.02
huanuco,2022,64,1192,5.37,5.34,-0.03
huanuco,2023,67,1236,5.42,5.39,-0.03
ica,2019,99,1160,8.53,8.53,0.0
ica,2020,66,740,8.92,9.04,0.12
ica,2021,73,1048,6.97,7.05,0.08
ica,2022,70,989,7.08,7.04,-0.04
ica,2023,75,1049,7.15,7.2,0.05
junin,2019,64,1133,5.65,5.65,0.0
junin,2020,42,782,5.37,5.37,0.0
junin,2021,50,1052,4.75,4.74,-0.01
junin,2022,46,1040,4.42,4.59,0.17
junin,2023,79,1043,7.57,7.52,-0.05
la_libertad,2019,103,1059,9.73,9.73,0.0
la_libertad,2020,62,759,8.17,8.27,0.1
la_libertad,2021,66,1000,6.6,6.72,0.12
la_libertad,2022,75,1003,7.48,7.65,0.17
la_libertad,2023,93,1057,8.8,8.9,0.1
lambayeque,2019,94,1129,8.33,8.41,0.08
lambayeque,2020,69,769,8.97,8.96,-0.01
lambayeque,2021,96,1059,9.07,9.01,-0.06
lambayeque,2022,104,1078,9.65,9.63,-0.02
lambayeque,2023,102,1103,9.25,9.26,0.01
lima,2019,333,3638,9.15,9.15,0.0
lima,2020,245,2622,9.34,9.37,0.03
lima,2021,323,3563,9.07,9.11,0.04
lima,2022,362,3517,10.29,10.34,0.05
lima,2023,302,3311,9.12,9.12,0.0
loreto,2019,134,1131,11.85,11.85,0.0
loreto,2020,94,760,12.37,12.34,-0.03
loreto,2021,103,1011,10.19,10.22,0.03
loreto,2022,166,1043,15.92,15.89,-0.03
loreto,2023,122,968,12.6,12.67,0.07
madre_de_dios,2019,142,1076,13.2,13.2,0.0
madre_de_dios,2020,64,669,9.57,9.5,-0.07
madre_de_dios,2021,105,1043,10.07,10.06,-0.01
madre_de_dios,2022,110,1022,10.76,10.72,-0.04
madre_de_dios,2023,100,1003,9.97,10.0,0.03
moquegua,2019,82,1101,7.45,7.45,0.0
moquegua,2020,56,714,7.84,7.84,0.0
moquegua,2021,90,1031,8.73,8.71,-0.02
moquegua,2022,88,963,9.14,9.2,0.06
moquegua,2023,94,986,9.53,9.62,0.09
pasco,2019,59,1113,5.3,5.3,0.0
pasco,2020,39,697,5.6,5.59,-0.01
pasco,2021,60,973,6.17,6.25,0.08
pasco,2022,69,1049,6.58,6.57,-0.01
pasco,2023,79,1044,7.57,7.61,0.04
piura,2019,97,1148,8.45,8.45,0.0
piura,2020,63,797,7.9,7.9,0.0
piura,2021,84,1015,8.28,8.5,0.22
piura,2022,100,1086,9.21,9.37,0.16
piura,2023,107,1089,9.83,10.13,0.3
puno,2019,96,1168,8.22,8.22,0.0
puno,2020,98,811,12.08,12.05,-0.03
puno,2021,98,1129,8.68,8.75,0.07
puno,2022,131,1114,11.76,11.74,-0.02
puno,2023,98,1089,9.0,8.97,-0.03
san_martin,2019,129,1168,11.04,11.04,0.0
san_martin,2020,84,806,10.42,10.47,0.05
san_martin,2021,73,1101,6.63,6.7,0.07
san_martin,2022,105,1074,9.78,9.92,0.14
san_martin,2023,117,1126,10.39,10.41,0.02
tacna,2019,102,1136,8.98,8.98,0.0
tacna,2020,86,722,11.91,11.91,0.0
tacna,2021,122,1114,10.95,10.95,0.0
tacna,2022,93,1124,8.27,8.35,0.08
tacna,2023,94,1090,8.62,8.7,0.08
tumbes,2019,145,1145,12.66,12.66,0.0
tumbes,2020,99,754,13.13,13.08,-0.05
tumbes,2021,95,1071,8.87,8.86,-0.01
tumbes,2022,120,1111,10.8,11.11,0.31
tumbes,2023,129,1087,11.87,11.85,-0.02
ucayali,2019,80,1143,7.0,7.0,0.0
ucayali,2020,46,796,5.78,5.76,-0.02
ucayali,2021,77,1128,6.83,6.9,0.07
ucayali,2022,79,1126,7.02,6.98,-0.04
ucayali,2023,57,1101,5.18,5.43,0.25
